jurisdicción,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Buenos Aires,2015,787,543,913,836,455,758,824,463,1062,441,513,672
Catamarca,2015,6,4,3,5,18,24,46,83,173,274,44,42
Chaco,2015,140,169,574,178,105,402,1211,1833,3996,1519,261,310
Chubut,2015,169,3963,1870,24,11,13,9,17,10,64,127,16
CABA,2015,0,0,0,0,0,1,0,0,1,0,1,0
Corrientes,2015,71,385,683,1852,702,743,1943,2638,3362,508,62,53
Córdoba,2015,66,37,61,129,68,198,336,701,382,285,125,144
Entre Ríos,2015,43,132,204,581,278,604,1269,290,624,265,111,94
Formosa,2015,247,360,1654,130,44,138,550,2024,8235,3148,284,48
Jujuy,2015,15,9,5,4,11,85,137,183,376,242,60,101
La Pampa,2015,4088,158,153,60,32,98,201,344,447,89,81,95
La Rioja,2015,19,5,6,10,17,75,36,119,128,179,21,34
Mendoza,2015,292,103,85,60,147,315,358,538,614,127,77,103
Misiones,2015,86,172,502,259,142,360,102,1122,473,153,30,46
Neuquén,2015,561,186,559,287,152,130,115,141,125,74,130,110
Río Negro,2015,1331,122,82,33,45,116,273,379,647,208,258,1402
Salta,2015,323,91,55,220,53,151,364,1788,3212,2789,662,444
San Juan,2015,20,20,12,16,52,76,125,206,219,63,26,45
San Luis,2015,71,130,46,13,42,123,220,277,323,121,50,44
Santa Cruz,2015,61,18,41,14,20,24,12,11,50,28,32,58
Santa Fe,2015,199,274,622,2285,1405,2550,7583,4430,4403,1643,638,293
Stgo. del Estero,2015,184,189,298,374,195,602,2775,3853,3412,2356,495,352
T. del Fuego,2015,8,7,6,17,11,9,15,1,11,11,5,18
Tucumán,2015,15,0,1,5,14,94,436,421,798,380,72,29
Buenos Aires,2016,410,522,584,242,162,421,300,1440,900,345,502,3201
Catamarca,2016,10,7,9,12,8,21,69,156,417,150,486,46
Chaco,2016,765,164,123,87,140,731,1539,5715,3833,376,375,83
Chubut,2016,280,269,1188,18,9,12,6,15,29,5,10,594
CABA,2016,0,0,3,0,1,0,1,1,0,0,0,0
Corrientes,2016,272,201,493,160,194,1156,1917,6095,3147,525,238,187
Córdoba,2016,109,57,44,25,24,80,152,279,363,227,497,196
Entre Ríos,2016,187,127,143,13,63,216,123,632,443,199,91,126
Formosa,2016,453,44,62,209,168,663,2488,7566,9558,1165,602,135
Jujuy,2016,9,10,20,11,24,67,96,213,227,242,127,77
La Pampa,2016,810,23,202,25,5,39,44,622,473,43,29,6836
La Rioja,2016,11,1,26,22,15,65,195,612,112,119,193,58
Mendoza,2016,40,59,65,43,9,126,351,680,844,160,287,807
Misiones,2016,230,46,207,223,93,374,939,1698,1141,217,294,170
Neuquén,2016,191,1192,173,160,51,93,70,135,179,156,237,343
Río Negro,2016,280,162,250,233,4,38,72,346,265,36,180,14131
Salta,2016,414,61,58,103,120,149,593,2970,5194,1115,1491,388
San Juan,2016,61,36,18,12,11,29,91,388,272,38,87,16
San Luis,2016,38,53,55,8,5,73,87,1115,885,186,281,825
Santa Cruz,2016,108,34,51,25,25,111,15,13,45,42,29,9
Santa Fe,2016,642,540,1413,219,310,1074,2091,5250,4409,699,707,308
Stgo. del Estero,2016,1011,173,647,40,160,611,1481,6626,5152,1235,1328,476
T. del Fuego,2016,9,2,19,7,34,12,9,7,1,19,9,1
Tucumán,2016,7,4,9,4,0,56,256,923,1067,500,325,30
Buenos Aires,2017,2844,672,597,494,353,415,449,564,603,481,465,580
Catamarca,2017,79,65,6,21,31,24,77,201,180,424,1749,31
Chaco,2017,204,204,103,47,31,224,4155,5111,1933,1739,1753,1952
Chubut,2017,65,39,5,7,7,3,5,4,6,4,21,53
CABA,2017,0,0,0,0,0,0,0,0,0,0,0,0
Corrientes,2017,150,165,299,310,96,370,3397,3392,576,442,774,1172
Córdoba,2017,84,56,87,98,81,209,614,843,565,621,1286,194
Entre Ríos,2017,44,18,66,137,52,100,290,180,90,105,236,449
Formosa,2017,856,428,180,99,7,340,3865,7437,4075,2418,2075,1116
Jujuy,2017,53,29,15,10,12,146,153,266,126,261,195,64
La Pampa,2017,19009,814,741,57,18,46,63,690,336,229,465,1512
La Rioja,2017,94,14,9,18,27,61,64,318,1874,2306,1389,66
Mendoza,2017,1903,371,200,90,83,291,493,940,583,433,545,309
Misiones,2017,99,109,140,97,16,244,1961,1358,853,117,308,167
Neuquén,2017,429,286,266,208,121,85,131,197,198,98,176,196
Río Negro,2017,2936,3505,574,43,26,55,87,381,310,156,166,1292
Salta,2017,518,171,18,13,30,207,449,1645,2901,2048,2302,551
San Juan,2017,266,24,32,16,33,121,138,205,207,233,839,11
San Luis,2017,1461,81,72,12,11,96,86,410,436,2886,473,234
Santa Cruz,2017,21,29,13,12,10,8,14,10,33,19,11,35
Santa Fe,2017,262,204,304,636,384,1350,3316,3792,1815,1256,2308,1855
Stgo. del Estero,2017,296,133,281,264,198,966,3105,4642,4429,2173,1918,501
T. del Fuego,2017,4,9,10,2,16,11,7,6,105,0,2,6
Tucumán,2017,44,20,8,3,4,106,570,1412,1088,542,152,34
Buenos Aires,2018,864,2014,1291,405,268,559,297,1154,898,582,391,440
Catamarca,2018,29,11,36,15,29,86,65,191,382,49,70,30
Chaco,2018,670,132,179,603,149,348,873,5448,3717,564,217,354
Chubut,2018,34,99,15,10,6,12,10,20,2,14,13,11
CABA,2018,0,0,1,0,0,1,0,0,0,0,0,0
Corrientes,2018,1139,786,1112,873,345,439,726,5159,2319,460,184,174
Córdoba,2018,140,237,441,131,56,145,229,694,529,458,89,92
Entre Ríos,2018,782,1090,807,204,76,174,148,1459,1202,586,156,120
Formosa,2018,241,295,91,1390,900,547,788,10231,4946,294,80,341
Jujuy,2018,10,20,5,2,15,97,53,174,200,128,59,39
La Pampa,2018,7739,2804,946,208,42,68,127,826,597,314,28,664
La Rioja,2018,23,29,30,26,74,67,42,151,109,66,41,9
Mendoza,2018,4607,272,250,164,113,175,294,998,840,432,185,311
Misiones,2018,52,265,201,561,411,161,838,1685,806,126,99,218
Neuquén,2018,319,204,287,184,128,153,176,491,366,314,259,288
Río Negro,2018,1290,736,445,186,31,46,46,221,266,111,81,189
Salta,2018,202,74,57,138,168,239,236,2244,3021,905,299,198
San Juan,2018,29,27,66,35,51,116,179,279,515,616,102,30
San Luis,2018,518,213,687,20,142,92,122,1718,238,886,149,380
Santa Cruz,2018,34,83,30,47,102,14,25,24,27,26,31,50
Santa Fe,2018,2364,3206,3597,2423,532,1602,1814,8264,4210,1176,748,817
Stgo. del Estero,2018,434,564,970,812,135,485,1159,5560,3565,799,397,259
T. del Fuego,2018,10,7,15,2,2,8,6,14,13,8,22,9
Tucumán,2018,8,11,18,20,33,389,691,2044,1432,206,38,16
Buenos Aires,2019,827,816,519,574,389,320,571,1145,1473,492,479,681
Catamarca,2019,22,10,26,12,27,58,39,217,252,284,103,117
Chaco,2019,50,155,234,67,22,286,852,4114,5541,2315,667,898
Chubut,2019,129,574,15,17,12,7,12,36,27,32,52,8
CABA,2019,0,0,0,0,0,0,0,0,1,0,0,0
Corrientes,2019,36,406,865,575,94,505,2569,6516,3815,1086,172,318
Córdoba,2019,74,52,53,48,28,143,191,550,1331,122,257,292
Entre Ríos,2019,7,56,139,83,33,42,174,372,735,4640,83,197
Formosa,2019,508,1673,1067,76,16,251,900,3690,6669,267,1786,1553
Jujuy,2019,11,4,4,6,8,61,116,171,234,409,156,81
La Pampa,2019,1013,1266,326,183,20,30,95,934,606,215,146,1052
La Rioja,2019,18,7,12,7,29,86,66,108,72,271,61,76
Mendoza,2019,250,545,127,171,70,169,487,544,512,486,118,240
Misiones,2019,118,208,308,191,26,262,322,2398,908,479,189,143
Neuquén,2019,343,353,67,539,65,16,34,91,769,479,560,956
Río Negro,2019,612,1279,845,307,50,36,189,263,384,146,163,392
Salta,2019,94,24,28,22,21,111,375,1806,3712,2481,1167,522
San Juan,2019,50,13,21,40,44,69,173,235,315,71,61,111
San Luis,2019,36,50,328,19,12,30,115,695,355,277,441,223
Santa Cruz,2019,43,108,29,17,16,15,21,40,25,72,48,15
Santa Fe,2019,63,252,285,331,172,508,1428,4702,4670,1263,604,744
Stgo. del Estero,2019,79,145,111,62,71,310,1302,4815,5413,2660,542,466
T. del Fuego,2019,4,13,5,4,18,20,20,54,2,3,32,3
Tucumán,2019,6,11,0,3,9,73,333,929,1010,591,56,92
Buenos Aires,2020,522,620,457,470,483,454,897,2106,1755,826,696,837
Catamarca,2020,22,19,105,13,43,120,227,973,292,318,134,72
Chaco,2020,415,953,3129,2297,1585,2761,4060,12880,11064,6365,2187,682
Chubut,2020,27,119,40,9,11,2,3,19,14,69,18,27
CABA,2020,0,3,0,0,0,0,0,0,0,0,2,0
Corrientes,2020,463,1567,2415,4140,2531,2222,4228,13705,4638,2268,3411,249
Córdoba,2020,305,109,115,197,628,301,567,2916,5786,4204,540,202
Entre Ríos,2020,140,602,690,721,1257,1387,6582,15842,5075,2926,2094,777
Formosa,2020,1368,2522,8229,4440,3343,2455,4496,18177,12162,17081,2995,328
Jujuy,2020,19,4,9,5,27,87,129,262,419,1634,1401,29
La Pampa,2020,19,104,87,98,70,41,62,719,369,78,87,699
La Rioja,2020,57,34,21,18,19,55,121,359,160,263,177,56
Mendoza,2020,195,202,113,76,161,141,123,555,594,351,150,304
Misiones,2020,69,177,422,590,253,477,415,2294,976,410,1142,229
Neuquén,2020,862,704,757,918,248,232,116,511,259,614,441,692
Río Negro,2020,979,625,360,246,162,108,48,320,345,214,91,395
Salta,2020,376,225,81,79,105,306,984,2186,4045,5980,2525,649
San Juan,2020,55,37,27,51,83,66,95,418,219,176,228,117
San Luis,2020,145,69,338,7,160,37,79,481,2178,2168,1585,750
Santa Cruz,2020,33,11,23,38,9,7,7,13,16,20,14,13
Santa Fe,2020,851,2580,4459,5348,6277,3928,10957,21846,13475,4937,2631,1448
Stgo. del Estero,2020,486,443,938,825,1611,1542,3654,7360,7421,2711,1730,740
T. del Fuego,2020,1,2,4,3,0,3,2,3,0,2,5,15
Tucumán,2020,22,23,35,32,183,373,1538,2254,1729,688,277,136
Buenos Aires,2021,1083,789,992,637,704,582,1207,2020,735,845,707,359
Catamarca,2021,33,8,14,9,34,32,145,271,178,550,41,15
Chaco,2021,427,371,484,145,244,233,1921,4472,2981,1845,275,316
Chubut,2021,31,400,324,0,13,18,9,7,19,12,17,9
CABA,2021,0,0,1,0,0,0,0,0,0,0,0,0
Corrientes,2021,578,379,1127,990,1083,703,3326,4894,1874,1330,496,445
Córdoba,2021,78,43,62,51,103,55,384,466,278,2033,117,65
Entre Ríos,2021,1124,606,858,375,834,371,1481,3709,1167,1089,657,286
Formosa,2021,110,182,465,63,150,174,3638,7727,3993,1224,434,1373
Jujuy,2021,38,39,3,2,16,48,125,164,105,866,145,195
La Pampa,2021,250,263,335,51,23,19,110,386,186,65,69,9
La Rioja,2021,6,7,10,17,25,47,163,118,172,1598,317,41
Mendoza,2021,102,32,39,73,82,71,421,395,591,278,128,9
Misiones,2021,83,321,321,472,431,136,1116,1470,741,253,226,232
Neuquén,2021,325,455,393,432,296,217,421,334,570,799,566,381
RíoNegro,2021,481,295,537,78,41,49,193,373,297,180,104,84
Salta,2021,113,71,88,68,168,195,662,1526,1350,3357,694,205
San Juan,2021,67,26,28,24,44,50,136,410,188,123,116,26
San Luis,2021,61,64,654,19,13,27,63,288,158,955,138,15
Santa Cruz,2021,101,43,39,12,13,24,23,18,23,18,8,4
Santa Fe,2021,1272,861,867,653,1035,708,5197,8255,4532,3124,982,885
Santiago del Estero,2021,331,162,281,273,565,592,2802,4430,3234,3556,406,189
Tierra del Fuego,2021,2,3,2,0,2,5,3,1,2,9,1,1
Tucumán,2021,14,10,5,10,66,182,1047,1602,1015,729,84,22
Buenos Aires,2022,1955,874,544,634,502,833,754,1761,1329,1230,1192,1300
Catamarca,2022,160,20,31,33,23,59,437,254,227,139,309,42
Chaco,2022,2937,1917,341,153,272,296,743,3600,3905,2485,1722,1194
Chubut,2022,821,14,6,7,4,9,6,10,17,18,9,7
CABA,2022,0,0,0,0,0,0,0,0,0,0,0,1
Corrientes,2022,14067,23866,1328,323,529,410,440,1055,1140,406,558,1735
Córdoba,2022,209,106,85,162,110,227,301,508,1900,784,1052,206
Entre Ríos,2022,1841,738,148,260,372,906,1563,7524,3753,1914,947,1790
Formosa,2022,20941,4184,1440,219,92,159,777,4042,4886,1753,1266,1318
Jujuy,2022,40,14,27,5,37,125,127,228,851,136,1637,190
La Pampa,2022,304,171,189,225,118,124,113,1266,1064,169,463,1034
La Rioja,2022,119,17,33,75,26,49,64,118,724,402,929,52
Mendoza,2022,93,41,70,103,151,148,240,583,593,299,192,90
Misiones,2022,706,951,228,205,205,86,729,1054,506,251,386,167
Neuquén,2022,538,511,711,565,532,266,316,424,480,375,447,552
RíoNegro,2022,531,152,64,46,83,94,102,291,360,150,70,395
Salta,2022,884,53,46,38,128,227,476,1569,6107,6238,21958,1564
San Juan,2022,55,11,31,84,48,51,152,151,568,206,102,59
San Luis,2022,761,63,44,78,66,43,188,229,1272,747,206,1126
Santa Cruz,2022,19,11,82,24,11,17,11,5,14,19,54,98
Santa Fe,2022,6052,4078,690,632,883,1588,2975,6181,7132,3324,2857,1772
Santiago del Estero,2022,847,339,167,273,503,649,1537,4136,4477,3689,2151,813
Tierra del Fuego,2022,2,5,0,6,4,1,7,1,4,0,2,1436
Tucumán,2022,39,21,17,32,71,302,764,1815,1364,524,551,105
Buenos Aires,2023,1779,1327,1186,720,614,528,421,1250,755,962,668,360
Catamarca,2023,51,46,12,23,23,44,37,101,59,236,94,78
Chaco,2023,1187,700,680,362,379,513,1330,4497,2608,2444,831,312
Chubut,2023,51,469,15,5,8,1,5,25,12,31,7,73
CABA,2023,4,0,0,0,0,0,0,0,0,0,0,2
Corrientes,2023,3105,8471,2548,1842,1356,815,1300,3586,435,393,33,44
Córdoba,2023,106,85,79,113,139,64,172,524,299,764,264,46
Entre Ríos,2023,2589,2281,2676,352,450,246,186,877,558,376,67,73
Formosa,2023,2004,817,356,253,131,189,918,5028,9169,5335,3242,306
Jujuy,2023,46,20,22,34,12,76,122,121,196,78,111,79
La Pampa,2023,417,532,287,68,139,58,34,428,234,258,266,290
La Rioja,2023,112,19,41,36,50,54,67,110,161,97,608,48
Mendoza,2023,654,283,97,64,86,142,153,341,270,344,129,132
Misiones,2023,166,156,237,253,429,419,570,1227,230,68,59,60
Neuquén,2023,537,531,465,299,406,225,222,323,303,450,465,708
Río Negro,2023,655,177,450,198,167,117,59,336,166,199,103,242
Salta,2023,268,221,70,48,37,64,282,1016,1330,1954,1041,258
San Juan,2023,44,28,36,27,32,34,57,225,127,165,283,165
San Luis,2023,894,40,217,26,42,31,30,709,313,943,304,77
Santa Cruz,2023,20,28,27,21,43,3,9,4,5,13,8,33
Santa Fe,2023,1444,1173,876,768,850,813,1409,4465,1922,1833,723,342
Santiago del Estero,2023,438,168,273,107,213,269,1137,2756,1971,1693,477,209
T. del Fuego,2023,7,5,3,7,13,5,4,4,2,1,1,4
Tucumán,2023,63,28,30,10,33,150,248,803,468,618,191,8
Buenos Aires,2024,573,594,371,270,227,222,615,611,758,672,374,564
Catamarca,2024,30,12,12,58,18,22,85,119,263,71,44,36
Chaco,2024,362,547,922,131,318,917,2029,5038,4451,1783,674,374
Chubut,2024,414,399,13,11,1,1,4,7,2,25,2,2
CABA,2024,0,0,0,0,0,0,0,0,0,0,0,0
Corrientes,2024,139,344,596,269,303,1313,2754,3890,2740,992,414,339
Córdoba,2024,84,66,39,57,32,48,397,375,4076,923,237,166
Entre Ríos,2024,76,112,136,35,105,193,573,643,807,321,109,125
Formosa,2024,1182,1882,5795,299,76,862,1153,3217,5211,2418,840,168
Jujuy,2024,10,30,8,5,4,42,153,249,161,168,124,45
La Pampa,2024,131,538,76,45,11,15,131,427,521,88,30,140
La Rioja,2024,39,25,19,21,34,43,71,1670,116,150,42,47
Mendoza,2024,43,47,63,103,75,87,472,235,281,159,105,147
Misiones,2024,134,145,255,194,31,725,667,1441,632,249,128,151
Neuquén,2024,590,528,720,379,348,241,607,442,464,660,406,689
Río Negro,2024,98,114,108,35,52,31,209,213,269,119,80,318
Salta,2024,202,182,139,36,31,118,600,1154,1372,1360,238,209
San Juan,2024,156,24,44,55,31,63,83,107,296,92,72,198
San Luis,2024,72,48,52,22,24,14,240,137,2732,367,113,134
Santa Cruz,2024,157,95,18,23,6,2,6,5,3,10,10,16
Santa Fe,2024,381,456,372,198,299,716,2307,6149,6805,3912,1377,1211
Santiago del Estero,2024,380,381,261,96,183,323,917,3351,3075,1557,514,559
Tierra del Fuego,2024,4,0,3,0,1,4,7,1,0,3,0,2
Tucumán,2024,40,9,5,8,8,148,675,1248,1113,390,69,101
