"jurisdicción";"año_2017";"año_2018";"año_2019";"año_2020";"año_2021";"año_2022";"año_2023";"año_2024";"año_2025"
"Total";"895";"1193";"1503";"1743";"2339";"2650";"2217";"2735";"206"
"Buenos Aires";"37";"45";"39";"62";"39";"60";"37";"6";"7"
"CABA";"0";"1";"0";"1";"0";"0";"1";"s/d";"s/d"
"Catamarca";"167";"146";"318";"164";"242";"188";"290";"197";"12"
"Chaco";"18";"8";"102";"215";"122";"110";"6";"s/d";"s/d"
"Chubut";"30";"25";"45";"46";"40";"39";"87";"69";"33"
"Córdoba";"56";"50";"64";"96";"71";"144";"140";"52";"s/d"
"Corrientes";"8";"15";"21";"58";"14";"106";"89";"773";"26"
"Entre Ríos";"s/d";"22";"4";"29";"59";"143";"62";"5";"13"
"Formosa";"10";"4";"11";"14";"34";"18";"17";"10";"3"
"Jujuy";"51";"132";"236";"207";"342";"378";"319";"462";"8"
"La Pampa";"89";"150";"91";"48";"19";"66";"70";"46";"24"
"La Rioja";"40";"19";"150";"126";"179";"68";"11";"5";"s/d"
"Mendoza";"185";"153";"91";"89";"93";"153";"76";"40";"13"
"Misiones";"21";"15";"43";"71";"45";"47";"12";"10";"13"
"Neuquén";"34";"37";"47";"61";"42";"12";"27";"60";"12"
"Río Negro";"70";"115";"122";"79";"98";"54";"281";"79";"18"
"Salta";"13";"133";"9";"100";"232";"222";"130";"298";"s/d"
"San Juan";"5";"41";"3";"1";"0";"58";"22";"61";"4"
"San Luis";"35";"54";"36";"29";"180";"309";"64";"55";"8"
"Santa Cruz";"4";"6";"10";"7";"9";"4";"12";"6";"7"
"Santa Fe";"s/d";"7";"19";"82";"50";"75";"26";"3";"3"
"Santiago del Estero";"11";"3";"32";"38";"6";"14";"34";"10";"1"
"Tierra del Fuego";"s/d";"1";"7";"2";"10";"6";"12";"14";"1"
"Tucumán";"11";"11";"3";"118";"413";"376";"392";"474";"s/d"