"jurisdicción";"año_2015";"año_2016";"año_2017";"año_2018";"año_2019";"año_2020";"año_2021";"año_2022";"año_2023";"año_2024"
"Total";"140984";"165311";"184806";"170674";"145745";"405904";"164096";"206321";"153377";"142484"
"Buenos Aires";"8267";"9029";"8517";"9163";"8286";"10123";"10660";"9186";"10570";"5851"
"Catamarca";"722";"1391";"2888";"993";"1167";"2338";"1330";"1244";"804";"770"
"Chaco";"10698";"13931";"17456";"13254";"15201";"48378";"13714";"14164";"15843";"17546"
"Chubut";"6293";"2435";"219";"246";"921";"358";"859";"894";"702";"881"
"CABA";"3";"6";"0";"2";"1";"5";"1";"0";"6";"0"
"Corrientes";"13002";"14585";"11143";"13716";"16957";"41837";"17225";"43158";"23928";"14093"
"Córdoba";"2532";"2053";"4738";"3241";"3141";"15870";"3735";"3608";"2655";"6500"
"Entre Ríos";"4495";"2363";"1767";"6804";"6561";"38093";"12557";"17105";"10731";"3235"
"Formosa";"16862";"23113";"22896";"20144";"18456";"77596";"19533";"36740";"27748";"23103"
"Jujuy";"1228";" ";"1330";"802";"1261";"4025";"1746";"1454";"917";"999"
"La Pampa";"5846";"9151";"23980";"14363";"5886";"2433";"1766";"3574";"3011";"2153"
"La Rioja";"649";"1429";"6240";"667";"813";"1340";"2521";"1225";"1403";"2277"
"Mendoza";"2819";"3471";"6241";"8641";"3719";"2965";"2221";"2022";"2695";"1817"
"Misiones";"3447";"5632";"5469";"5423";"5552";"7454";"5802";"4670";"3874";"4752"
"Neuquén";"2570";"2980";"2391";"3169";"4272";"6354";"5189";"4343";"4934";"6074"
"Río Negro";"4896";"15997";"9531";"3648";"4666";"3893";"2712";"1723";"2869";"1646"
"Salta";"10152";"12656";"10853";"7781";"10363";"17541";"8497";"9528";"6589";"5641"
"San Juan";"880";"1059";"2125";"2045";"1203";"1572";"1238";"1151";"1223";"1221"
"San Luis";"1460";"3611";"6258";"5165";"2581";"7997";"2455";"2744";"3626";"3955"
"Santa Cruz";"369";"507";"215";"493";"449";"204";"326";"194";"214";"351"
"Santa Fe";"26325";"17662";"17482";"30753";"15022";"78737";"28371";"30211";"16618";"24183"
"Stgo. del Estero";"15085";"18940";"18906";"15139";"15976";"29461";"16821";"12928";"9711";"11597"
"T. del Fuego";"119";"129";"178";"116";"178";"40";"31";"30";"56";"25"
"Tucumán";"2265";"3181";"3983";"4906";"3113";"7290";"4786";"4425";"2650";"3814"